county,w_ell,w_domestic,w_care,share_rural,N_tus,A_c_proxy,A_d_proxy,pc,pd
1.0,120.77169638434763,31.03861172935741,,1.0,364069701.8125,1.0,1.0,,31.03861172935741
2.0,193.4511608479341,11.066142998879627,,0.1759976914578173,187246876.296875,1.0,1.0,,11.066142998879627
3.0,66.94093235669885,32.15126772390576,,0.3050929121480408,365429334.796875,1.0,1.0,,32.15126772390576
4.0,30.09414693136205,34.366765753202394,,0.2699917506310018,58906437.28125,1.0,1.0,,34.366765753202394
5.0,183.51641839131852,80.71112809323944,,0.297995134239542,37139279.15234375,1.0,1.0,,80.71112809323944
6.0,80.76313037022632,26.117164610775102,,0.3224027942695317,81987292.6171875,1.0,1.0,,26.117164610775102
7.0,82.04760319699508,,,0.2972761099418128,135991948.4609375,1.0,1.0,,
8.0,107.06698905770564,16.75370888514668,,0.2379231462487491,115220594.875,1.0,1.0,,16.75370888514668
9.0,193.69287934700796,,,0.3500845949204068,98781270.90625,1.0,1.0,,
10.0,130.35369731244444,34.54330161918091,,0.2550541535548316,76957797.03125,1.0,1.0,,34.54330161918091
11.0,54.517388618737805,41.91696563362213,,0.5313972822851385,43797392.6875,1.0,1.0,,41.91696563362213
12.0,62.8465607171662,13.797725402288467,,0.0979190799902064,364474728.8125,1.0,1.0,,13.797725402288467
13.0,58.7193970820431,109.90400266899309,68.68646053184975,0.0811368834409144,90274673.26757812,1.0,1.0,68.68646053184975,109.90400266899309
14.0,94.1223898512773,15.062701935079822,,0.1445025483771403,159963643.1171875,1.0,1.0,,15.062701935079822
15.0,38.19769377244896,21.323567770750092,68.68646053184975,0.04499842306731,215156218.875,1.0,1.0,68.68646053184975,21.323567770750092
16.0,181.25661720933624,22.68357619874279,,0.3415427477123968,353560517.578125,1.0,1.0,,22.68357619874279
17.0,71.14588823190547,17.648561999806596,166.4304668779281,0.0737196184114362,223861055.78125,1.0,1.0,166.4304668779281,17.648561999806596
18.0,79.21533598589005,17.39711647735346,,0.1213835690398763,120351018.5078125,1.0,1.0,,17.39711647735346
19.0,86.47818652603345,36.73278336103623,,0.2200381073317618,129001209.15625,1.0,1.0,,36.73278336103623
20.0,83.46180664147742,23.587591784963443,,0.2334124260576932,125779077.359375,1.0,1.0,,23.587591784963443
21.0,64.16406628277844,24.163594415106893,,0.137231525451993,237064545.0546875,1.0,1.0,,24.163594415106893
22.0,54.666642168599786,27.72034795581609,,0.7087238022934584,623287259.625,1.0,1.0,,27.72034795581609
23.0,86.69989529919027,27.950868015488368,68.68646053184975,0.2928355192970069,111543978.62890624,1.0,1.0,68.68646053184975,27.950868015488368
24.0,61.73533641923237,19.75355135180337,,0.058160019019971,113015747.890625,1.0,1.0,,19.75355135180337
25.0,86.1487584605328,,,0.1674373598173648,50385116.51171875,1.0,1.0,,
26.0,261.0789325308733,,,0.1961302447490583,252803789.984375,1.0,1.0,,
27.0,114.61208894889324,24.070096891101528,,0.4570667094199303,293642105.359375,1.0,1.0,,24.070096891101528
28.0,111.63409226343649,34.87032235977102,,0.0581501704670043,96119974.33007812,1.0,1.0,,34.87032235977102
29.0,148.6675685321694,18.3094265939154,,0.0734959573335727,206013591.15234372,1.0,1.0,,18.3094265939154
30.0,92.74282886856578,72.070714023761,,0.1342233023830864,129371888.9609375,1.0,1.0,,72.070714023761
31.0,64.06613765380087,34.87032235977102,,0.2649311476012714,123955371.00390624,1.0,1.0,,34.87032235977102
32.0,72.0240398675634,38.3573277949632,,0.5129189570476553,507804287.6875,1.0,1.0,,38.3573277949632
33.0,95.77012037022874,28.319530484466057,,0.101018063736286,233725907.9296875,1.0,1.0,,28.319530484466057
34.0,59.14210603238853,33.15800325997699,,0.608534462751849,240588125.28125,1.0,1.0,,33.15800325997699
35.0,103.063708272669,19.712781578896564,18.85885558870521,0.1119661979879267,196566872.9453125,1.0,1.0,18.85885558870521,19.712781578896564
36.0,80.18268459803697,21.34841187894352,,0.0403034201530598,217605552.34765625,1.0,1.0,,21.34841187894352
37.0,69.0359510450606,11.447145523834068,351.088870010342,0.1188995293309207,369179562.359375,1.0,1.0,351.088870010342,11.447145523834068
38.0,56.67305664288863,56.10412043833156,,0.1272164203931683,124587144.71875,1.0,1.0,,56.10412043833156
39.0,82.82781150938725,34.87032235977102,,0.0961386154204827,405422691.640625,1.0,1.0,,34.87032235977102
40.0,66.48340839049659,24.43162348907845,,0.147544100429052,202465755.359375,1.0,1.0,,24.43162348907845
41.0,36.06939271088929,21.863775977927485,,0.0946489130018881,191045810.7421875,1.0,1.0,,21.863775977927485
42.0,52.98985517620468,34.87032235977102,,0.3830365923994587,271421962.109375,1.0,1.0,,34.87032235977102
43.0,82.3771301789438,2.660461001474635,,0.1103763158806098,239768887.1796875,1.0,1.0,,2.660461001474635
44.0,72.4512286963085,34.87032235977102,,0.172002372023954,221864275.0625,1.0,1.0,,34.87032235977102
45.0,93.97373745383793,34.87032235977102,,0.1263241583623856,257616568.7421875,1.0,1.0,,34.87032235977102
46.0,46.97862668474401,84.0595723422739,,0.0890491647120745,135759066.22265625,1.0,1.0,,84.0595723422739
47.0,119.4734588037835,63.22217039050928,,1.0,1033752530.875,1.0,1.0,,63.22217039050928
